标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
别死啊！归骰！！！😭,我没魔芋爽,日常,440109,48810,1601,883,9546,1341,7590,61,2026-08-01 10:00:00,BV1TBGg63ED8,2026-08-02,14.0,0.5833333333333334
感觉生活压力大时不妨想想这群穿刺手,JP是只熊,手机游戏,238284,18984,710,171,2498,672,6681,73,2026-08-01 10:01:13,BV1s4GV6LEMh,2026-08-02,13.979722222222222,0.5824884259259259
陈翔六点半：一段不算爱情的爱情,陈翔六点半,小剧场,757222,15150,1159,916,2890,1813,462,316,2026-08-01 10:37:59,BV1ChGV6kEaE,2026-08-02,13.366944444444444,0.5569560185185185
杂胡书记VS鲜卑兵王，五胡初期的北境天命之战,渤海小吏,人文历史,369223,18074,710,2187,5967,8436,331,3546,2026-08-01 03:00:00,BV1Ew386CE4w,2026-08-02,21.0,0.875
『在水晶门口cos防御塔的二人』,太尉c-中韩第一阿克尚,网络游戏,461130,29211,673,270,2492,1290,4087,47,2026-08-01 04:00:00,BV1pT346kEyy,2026-08-02,20.0,0.8333333333333334
我做了一个AI小岛，让米哈游角色自己生活...【B站AI创造公开赛】,兔崽子你真的完蛋了,单机游戏,142030,13696,457,504,4279,4097,339,245,2026-08-01 10:30:00,BV1q4GN6VEBq,2026-08-02,13.5,0.5625
馬來西亞“最貴”肉骨茶，19馬幣vs 234馬幣，10多倍差價差在哪？,丹牛食走起,美食侦探,265870,7748,483,714,1886,1394,675,866,2026-08-01 03:00:00,BV1vg3n6jEAD,2026-08-02,21.0,0.875
珊比 VS 方舟精英BOSS，勇敢的短耳朵！【明日方舟】,-碱式碳酸咸鱼-,手机游戏,260980,11183,1847,387,761,556,413,433,2026-08-01 12:53:09,BV1CSGG66ERc,2026-08-02,11.114166666666666,0.4630902777777777
《这一秒过火》：下一秒上火，狗血剧是什么门槛很低的东西吗？,话很多的小姐姐们,影视杂谈,293242,12788,1017,4143,1743,2863,1246,1054,2026-08-01 03:00:00,BV1WGGN6XELV,2026-08-02,21.0,0.875
如何绷住（2）,警探小蓝丶,单机游戏,144156,15361,845,1492,4227,827,863,265,2026-08-01 09:45:59,BV1xsGV62E55,2026-08-02,14.233611111111111,0.5930671296296296
你小时候离家出走:      【B萌应援】,王月目儿草,单机游戏,311342,29672,399,105,3573,2565,598,31,2026-08-01 03:31:00,BV1tLGu6TEK9,2026-08-02,20.483333333333334,0.8534722222222223
MC的某些附魔属性究竟有多少冷知识？！！,-恒某人-,单机游戏,334776,23626,587,686,4740,619,304,338,2026-08-01 02:00:00,BV19oGK6rELx,2026-08-02,22.0,0.9166666666666666
为什么小鸡洗完澡都有股怪味…,26鲨鱼,绘画,164229,22088,512,46,4172,746,875,32,2026-08-01 04:45:56,BV1DKGu6VEz5,2026-08-02,19.234444444444446,0.8014351851851852
【苏新皓𝗣𝗼𝘄𝗲𝗿】𝗧𝘄𝗼 𝗱𝗮𝘆𝘀 𝟭𝟮机位𝗙𝗼𝗰𝘂𝘀 𝗺𝗶𝘅𝗲𝗱 𝗰𝘂𝘁,Sisu-Crown苏新皓,娱乐粉丝创作,72075,9256,155190,126678,7752,9036,9481,274,2026-08-01 10:51:31,BV1EzGV6TEdh,2026-08-02,13.141388888888889,0.5475578703703704
侦探：不收徒,呵纹Hevon,同人·手书,256307,24250,316,652,4180,2140,282,158,2026-08-01 11:03:59,BV1AhGV6CEbq,2026-08-02,12.93361111111111,0.5389004629629629
【一轮复习】绝对值的数形结合与零点综合！,一数,校园学习,125682,19765,745,468,3315,1099,320,2778,2026-08-01 13:38:44,BV1KPGG6GEEN,2026-08-02,10.354444444444445,0.4314351851851852
家里又多了5只小狗，大黄一大早跑来报喜！,大黄是只狗,汪星人,391968,9157,209,179,4531,841,47,183,2026-08-01 10:19:05,BV1tnGV6JEcb,2026-08-02,13.681944444444444,0.5700810185185184
凑 企 鹅 大 狗 叫,真栗,日常,519574,57683,961,354,4808,1872,1512,29,2026-08-01 10:50:05,BV1kYGV63Ezz,2026-08-02,13.165277777777778,0.5485532407407407
这么大的土地庙，看来这boss的建筑水平在我之下【更好的MC】,磊哥游戏,单机游戏,530503,52066,1104,1139,3093,4166,487,334,2026-08-01 01:00:00,BV19fGK6gEVv,2026-08-02,23.0,0.9583333333333334
死亡到来，我们相爱。【十级学者详解武林外传44】,一岸舟,影视剪辑,228759,9861,887,3019,1976,4227,158,2939,2026-08-01 03:30:00,BV1DjGw6pEG6,2026-08-02,20.5,0.8541666666666666
我说孩童啃棒骨，百日则肥白，肉蛋奶tv的家人们都支持吧？呦呦说再也不喝米油了（彩蛋）,一个被磨平的90后,亲子,125482,11134,595,191,564,1324,112,203,2026-08-01 09:30:00,BV1vmGw6AERJ,2026-08-02,14.5,0.6041666666666666
王者荣耀版谁是内鬼！,清酒好可怜,电子竞技,185372,12178,217,546,1496,1090,106,757,2026-08-01 09:30:00,BV1t5G361EyC,2026-08-02,14.5,0.6041666666666666
【本家投稿】QUIET / MIMI feat. 重音テトSV ＆ 可不 ＆ 雨衣,MIMI_music,VOCALOID·UTAU,46264,15783,640,420,9566,5020,1395,149,2026-08-01 11:57:39,BV1euGV6ZEmz,2026-08-02,12.039166666666667,0.5016319444444445
【尺八人夫】什么是路飞？致每一个爱着太阳的你【B萌应援】,尺八人夫,演奏,67616,4597,791,728,1416,3283,501,1115,2026-08-01 15:27:06,BV1Vw3U6xEXF,2026-08-02,8.548333333333334,0.35618055555555556
【直到大地变成一颗酸橙】TO-1至TO-9 摆完挂机 简单好抄,萧然Q,手机游戏,774458,15316,1259,401,3454,11432,347,1396,2026-08-01 04:23:37,BV1qoGM6nEcq,2026-08-02,19.60638888888889,0.8169328703703704
鬼畜电影：郝哥的传奇人生,LuminaSymph,鬼畜剧场,56635,3164,208,253,1063,1644,204,927,2026-08-01 03:53:02,BV1wTGg6aEop,2026-08-02,20.11611111111111,0.8381712962962963
【微电影】星河外卖员: 卡皮不在天津四,最后讲述者,鬼畜剧场,179536,18576,723,1173,2723,7819,867,484,2026-08-01 05:06:34,BV1aPGu6yEjD,2026-08-02,18.890555555555554,0.7871064814814814
【完整版】人民军队大片《制胜》第三集《挺进深蓝》,央视新闻,日常,226537,19027,571,1235,3446,3330,956,1501,2026-08-01 12:00:00,BV1SvGg6GEuM,2026-08-02,12.0,0.5
泉…泉奈？！！,晓贪猫,日常,170509,20751,979,285,8050,1459,557,82,2026-08-01 12:18:15,BV1gqGG6SEMC,2026-08-02,11.695833333333333,0.48732638888888885
原神7.0抽卡推荐和新的自选命座推荐,龙四爷攻略组,手机游戏,118922,8095,1204,1110,952,3805,183,1085,2026-08-01 14:07:10,BV1JjGG6PEY2,2026-08-02,9.880555555555556,0.41168981481481487
古法…3D动画？,杨小谬,绘画,55862,17441,243,25,3253,3296,175,25,2026-08-01 12:58:06,BV1KkGG6jEBT,2026-08-02,11.031666666666666,0.45965277777777774
“秀秀无敌腰上滚伞”,紫颜-小仙紫,日常,163945,20862,333,81,3415,1466,225,29,2026-08-01 10:57:16,BV1qcGV6AEu6,2026-08-02,13.045555555555556,0.5435648148148148
咸鱼之王爆氪一个月直接通关，顶氪关羽太强了,老芒果OL,网络游戏,194310,10913,258,213,766,3755,141,519,2026-08-01 04:05:00,BV1CGGN6XEDT,2026-08-02,19.916666666666668,0.8298611111111112
【明日方舟】夏活“直到大地变成一颗酸橙”TO-1~9摆完挂机全关卡攻略！操作轻松+语音详解的愉悦攻略！《明日方舟》|魔法Zc目录,魔法Zc目录,手机游戏,234588,12993,1222,359,1752,4147,308,1290,2026-08-01 05:09:48,BV1YAGu6LEci,2026-08-02,18.836666666666666,0.7848611111111111
两小儿辩日（还挺好看）,花盆儿儿儿,同人·手书,132803,23077,283,128,8609,918,631,101,2026-08-01 04:00:42,BV1sJGu6eEzk,2026-08-02,19.988333333333333,0.8328472222222222
🐬不用坐班的好事竟然轮到我了🐬,哈鸡堡,影视剪辑,161727,20452,292,92,4430,1281,202,116,2026-08-01 02:24:38,BV1KoGu6uEDp,2026-08-02,21.589444444444446,0.8995601851851852
把经典毁成赛博垃圾！逆大天的父与子3D【周余】,不知所措的周余,动漫杂谈,156759,9567,630,913,2370,1090,190,374,2026-08-01 09:53:46,BV12WGV67EF5,2026-08-02,14.10388888888889,0.587662037037037
宗主第二招🚬,永雏塔菲,MMD·3D,249073,36006,1115,159,2664,2421,2500,22,2026-08-01 07:48:10,BV16QGg6hE89,2026-08-02,16.197222222222223,0.6748842592592593
我们换了一种救助形式，让救助组织能活下去,本喵叫兔兔,喵星人,112456,19782,597,335,892,6229,249,305,2026-08-01 10:28:13,BV1JiGV6uEvt,2026-08-02,13.529722222222222,0.5637384259259259
逐帧拆解7.0所有信息！伏笔从温迪到女皇？它其实不是派蒙？原神至冬前瞻解析,Jerryprpr,手机游戏,104863,13027,649,933,2644,938,274,998,2026-08-01 09:01:58,BV1VxGg6JEpS,2026-08-02,14.967222222222222,0.6236342592592593
韩立不是因为令狐才帮黄枫谷 而是想帮黄枫谷 所以才给令狐一个机会！《凡人修仙传》185集逐帧解析,白马侯子,国产原创相关,139225,8969,1187,690,736,1504,108,759,2026-08-01 13:34:58,BV1NNGG6rEWA,2026-08-02,10.417222222222222,0.4340509259259259
两部门明确12到14周岁未成年人严重暴力犯罪核准追诉标准,央视新闻,日常,237280,20046,2526,701,2515,1682,1505,360,2026-08-01 11:55:57,BV1euGV6oEGo,2026-08-02,12.0675,0.5028125
⚡嗷 呜⚡星 铁 旗 袍！你 选 择 谁⚡,莉可Kurisu,日常,151302,43601,293,555,19617,1002,1150,29,2026-08-01 10:06:16,BV1MEGV6QEv8,2026-08-02,13.895555555555555,0.5789814814814814
何润东杨齐家老六联动扶贫，目标：手搓非洲之星,老六没有福利号,网络游戏,226258,15696,419,409,1985,683,84,855,2026-08-01 09:05:05,BV1S8Gg61Edr,2026-08-02,14.915277777777778,0.6214699074074074
别被制造焦虑了，自律的前提是生存！,硬汉形象26,健身,47992,7541,187,32,1188,602,55,179,2026-08-01 12:59:30,BV1m6GG62EXR,2026-08-02,11.008333333333333,0.45868055555555554
【唐唐】深度解析伪纪录片《被诅咒的大家庭2》真相浮出水面！,Big笑工坊,影视杂谈,101706,6998,297,542,1781,1829,112,1840,2026-08-01 04:20:00,BV1LaGT6mEZk,2026-08-02,19.666666666666668,0.8194444444444445
不要小瞧朵朵和小乔之间的羁绊啊！,LuFee__,电子竞技,294890,14797,274,407,4739,581,446,150,2026-08-01 04:00:00,BV16vGw6gELQ,2026-08-02,20.0,0.8333333333333334
【明日方舟】夏活“直到大地变成一颗酸橙”TO-1~9低配平民攻略！操作轻松+语音详解的愉悦攻略！《明日方舟》|魔法Zc目录,魔法Zc目录,手机游戏,125775,11601,627,119,1298,1982,377,1177,2026-08-01 09:52:30,BV1xsGV62EJk,2026-08-02,14.125,0.5885416666666666
非常抱歉！！！！,走路摇ZLY,日常,471559,39585,595,95,7435,1265,455,21,2026-08-01 10:12:11,BV1S7GV6HETH,2026-08-02,13.796944444444444,0.5748726851851852
【初音/重音/手书】67位初音重音的天国地狱国,Kevin-Silvia,日常,56265,9669,327,435,5384,1310,443,188,2026-08-01 02:00:00,BV1Y1GF6REjE,2026-08-02,22.0,0.9166666666666666
当代学生精神状态：吃饭大冒险,碧月狐,单机游戏,624241,83803,1258,1184,11737,5130,1500,61,2026-08-01 01:35:00,BV1d5GK6gEL1,2026-08-02,22.416666666666668,0.9340277777777778
侠隐柱间初上手憋笑挑战纯享版,women51,手机游戏,199873,11082,798,760,1214,814,457,868,2026-08-01 05:31:43,BV1GUG36pELQ,2026-08-02,18.47138888888889,0.7696412037037037
离职当天就后悔了,少吃点布洛芬,日常,120214,7559,365,137,848,685,232,234,2026-08-01 13:05:08,BV1K1GG65E4p,2026-08-02,10.914444444444445,0.45476851851851857
【原神】幻想真境剧诗 卓越+月谕难度(2026年08月)水雷冰/新深渊/平民低配满花/试用角色/超低配/幻想真境剧诗/原神月之八,你的影月月,手机游戏,230050,14159,4212,728,2522,4813,506,1285,2026-08-01 04:31:57,BV1zmGM6xEvh,2026-08-02,19.4675,0.8111458333333333
53颗CPU+52张显卡 耗时三个月！才做完的实测CPU+显卡天梯图！高清原图免费下载 持续更新！【2026.8.1版】,硬核搞机宅,数码,63123,4762,567,146,2075,4910,197,764,2026-08-01 09:23:48,BV1C1Gg6vEeV,2026-08-02,14.603333333333333,0.6084722222222222
KING王者归来 瘦回巅峰上音综  资本最汗流浃背的一集,抽乐个大象,音乐综合,898794,11321,335,590,2385,2016,528,864,2026-08-01 06:24:07,BV1gRG36EE5T,2026-08-02,17.598055555555554,0.7332523148148148
新能：你是说新幻神是地面？而且还有弹药技能！？,樗柒ヽ,手机游戏,162674,6009,983,297,570,536,276,161,2026-08-01 16:26:14,BV1tY3m6LEqa,2026-08-02,7.562777777777778,0.3151157407407407
【朱志鑫】四日混剪 一键换装 「竞速游戏」多机位 4K直拍｜登陆少年梦寐以求演唱会,帆_朱志鑫,娱乐粉丝创作,72148,11529,8309,13123,8195,12076,2614,225,2026-08-01 09:47:05,BV1KrGg6uEbn,2026-08-02,14.215277777777779,0.5923032407407408
【直到大地变成一颗酸橙】TO-1至TO-9挂机流，小游戏刻章都不愁！| 明日方舟攻略简单好抄(含TO-9豪华版，安洁莉娜的旅行小记等),自在道爷,手机游戏,219711,5176,265,223,1065,3445,50,4321,2026-08-01 04:24:23,BV16UGM6RE42,2026-08-02,19.593611111111112,0.816400462962963
被迫出差 上门喂养阿姨给我拍的视频,喵君是个大聪明,小宠异宠,148407,16819,577,676,1026,2012,1239,211,2026-08-01 08:56:34,BV1MvGg6VEwE,2026-08-02,15.057222222222222,0.6273842592592592
开始黑化,林思彤77,小剧场,146883,17984,547,537,1159,1095,131,250,2026-08-01 10:53:27,BV1HYGV63Et4,2026-08-02,13.109166666666667,0.5462152777777778
"ASMR某非遗古法疗愈""大师""直播间 (通泪腺、海底捞、护甲抓背、电脉冲头疗)",乌乌Woozzz,日常,131945,14481,530,922,4286,3465,234,502,2026-08-01 08:10:08,BV1DgG36EEWe,2026-08-02,15.831111111111111,0.6596296296296297
萝莉控天堂🥰,奶油-cream-,综合,157924,18045,456,421,1534,697,408,133,2026-08-01 06:31:21,BV1snG36rE2M,2026-08-02,17.4775,0.7282291666666666
【杂谈】术力口为什么越来越低龄化？圈子的风气该改改了！,PCKCOOL,音乐综合,57546,6094,1001,307,2841,802,185,362,2026-08-01 19:05:07,BV1De3S6pE2d,2026-08-02,4.914722222222222,0.20478009259259258
人生最大的残疾从不是身体的残缺，而是内心的恐惧！,造梦阿瑄,日常,318535,20207,313,341,1806,1956,84,214,2026-08-01 04:00:00,BV1unGP6bEFZ,2026-08-02,20.0,0.8333333333333334
讲话不过脑的后果到底有多严重，这起案件值得所有人看一看！,我是大佬K,人文历史,124732,7082,326,838,1867,2045,74,1692,2026-08-01 10:00:00,BV14jGu6iE2T,2026-08-02,14.0,0.5833333333333334
学习作曲导致听力下降…,萤灯沵汓,搞笑,78938,8175,259,166,973,776,163,116,2026-08-01 08:35:47,BV1YNG36QEKP,2026-08-02,15.403611111111111,0.6418171296296297
生活不易，携子卖艺#新生儿,蕾蕾蕾杨,亲子,108305,17104,274,139,1655,1241,1053,88,2026-08-01 13:24:31,BV1HVGG6KE7B,2026-08-02,10.591388888888888,0.44130787037037034
这植物种下去将会很疯狂！,我真是小熊Game,单机游戏,485058,16849,208,990,12167,1081,37,329,2026-08-01 04:55:52,BV19cGu62E56,2026-08-02,19.06888888888889,0.794537037037037
OpenAI的十个重大数学成果：数学核爆已成常态,分析学爱好者,日常,131306,4163,2028,348,1378,649,2344,408,2026-08-01 10:39:39,BV1HhGV6kEUy,2026-08-02,13.339166666666667,0.5557986111111112
"【方舟梗知识59】从W到维什戴尔,海猫到底有多能吃？明日方舟人物故事",灰幻,手机游戏,128979,7431,151,307,1995,1001,132,1028,2026-08-01 06:57:04,BV1nvG36wEFf,2026-08-02,17.04888888888889,0.7103703703703704
《向修猫忏悔吧》全曲,红烧牛肉丸子_,同人·手书,48778,7525,325,514,5117,2861,231,185,2026-08-01 02:51:28,BV1M9Gu63E7E,2026-08-02,21.142222222222223,0.880925925925926
《 八 狸 世 家 》,念熙阿,手机游戏,246893,23854,764,517,2046,5508,248,492,2026-08-01 03:36:14,BV1J8Gu6oE2h,2026-08-02,20.39611111111111,0.849837962962963
【脑叶公司AC手书】numb numb,祈侒侒侒侒,同人·手书,47148,13583,340,78,5502,3054,751,167,2026-08-01 02:00:00,BV1rkGM6fEdm,2026-08-02,22.0,0.9166666666666666
国家一级演奏员钢琴奶奶赏析原神至冬交响音乐会（音乐reaction）,钢琴奶奶-尹松,日常,127206,10456,656,1021,1834,2723,264,1858,2026-08-01 11:27:06,BV1FdGG6qEPt,2026-08-02,12.548333333333334,0.5228472222222222
【火影精讲】动漫史上最经典的篇章之一！终结之谷篇之鸣人vs佐助,伊村べべろ,动漫杂谈,137127,7449,666,1339,1764,3761,211,2469,2026-08-01 11:35:18,BV1hGGV6REDF,2026-08-02,12.411666666666667,0.5171527777777778
我们姐妹情深，你得一起娶~,NZ75鸽,同人·手书,201259,16059,431,563,7650,2855,1433,167,2026-08-01 04:00:00,BV1riGP67Emp,2026-08-02,20.0,0.8333333333333334
予愿安洁莉娜 VS 全方舟BOSS，新神已至！？【明日方舟】,樗柒ヽ,手机游戏,720235,26620,5808,1795,2272,1743,4557,403,2026-08-01 05:56:16,BV1tZG36jEVV,2026-08-02,18.06222222222222,0.7525925925925926
《蜘蛛侠:崭新之日》万字解析！132个彩蛋&细节&结局分析！绿巨人还记得彼得？,超英队长,影视杂谈,486150,21451,2495,2989,7877,8333,3379,1623,2026-08-01 03:48:21,BV1E8Gu6oEhM,2026-08-02,20.194166666666668,0.8414236111111112
暑假无聊belike！,一串大福,搞笑,465497,40472,658,1317,3754,1224,319,145,2026-08-01 10:08:17,BV1bEGV6DE2C,2026-08-02,13.861944444444445,0.5775810185185185
如何在航天做到心如止水,鸡头-三角洲行动,电子竞技,194740,17480,188,368,1945,803,246,323,2026-08-01 14:43:01,BV1p13m6TE7V,2026-08-02,9.283055555555556,0.38679398148148153
奥特钥匙大结局下（凤凰梦比优斯预告）,百火哥斯拉,特摄,609141,76166,8578,18970,15081,27863,4465,91,2026-08-01 11:02:33,BV1qfGG6eEQ3,2026-08-02,12.9575,0.5398958333333334
警察上门如何分辨真假？,新华网,日常,1263626,133262,2206,615,25276,1351,683,57,2026-08-01 04:00:00,BV1bcGA6pE4w,2026-08-02,20.0,0.8333333333333334
喜欢处决客人的便利店员工,拧不动啊真拧不动,单机游戏,460345,30003,576,2536,10258,2158,634,2386,2026-08-01 09:26:46,BV1wUGg6eE4f,2026-08-02,14.553888888888888,0.606412037037037
末日高架桥，我们被困了100天！P6,马里奥红叔,单机游戏,619232,89599,1192,6289,22832,46372,688,1548,2026-08-01 03:00:00,BV1FKGM6sEwe,2026-08-02,21.0,0.875
探访女主播的家 给我整不会了！,野生鱼白,搞笑,960155,31666,1153,1386,8811,4998,2489,510,2026-08-01 01:00:00,BV1L3GP6vE39,2026-08-02,23.0,0.9583333333333334
剩菜实力排行，你最喜欢吃什么剩菜？,东方日出哇,特摄,973543,47621,1495,1383,6236,800,752,366,2026-08-01 05:39:06,BV15CG36dE33,2026-08-02,18.348333333333333,0.7645138888888888
万蛇之王！全世界最大的剧毒蛇它终于来了,ZGL蛇语者,野生动物,315954,25634,1272,1620,2844,2463,1674,445,2026-08-01 10:50:00,BV1gDGu6VEtq,2026-08-02,13.166666666666666,0.548611111111111
胜者才有资格享受阿漂【鸣潮泳装PV】,仓鼠想要变成球,同人·手书,237817,24682,462,273,12410,7824,1677,163,2026-08-01 10:00:00,BV1gRG36EEmP,2026-08-02,14.0,0.5833333333333334
田野里的哈基米～,麻怪与麻瓜,喵星人,994283,109018,1410,212,7793,1027,2190,49,2026-08-01 03:42:48,BV1fvGu6WENK,2026-08-02,20.286666666666665,0.8452777777777777
当MC服里加入妙脆角小猫(玩家：被生活磨平了妙脆角😁😁,Mr_牛奶,单机游戏,484981,42016,677,333,9066,865,538,107,2026-08-01 13:00:00,BV1zU3164E2u,2026-08-02,11.0,0.4583333333333333
偷偷开通女友亲密付…假大方花一万让她当富婆！看到余额她直接破防！,盖里老哥,日常,610317,17450,770,3384,3798,6522,2453,587,2026-08-01 09:18:12,BV1YTG36nE9H,2026-08-02,14.696666666666667,0.6123611111111111
【公测】我们为所有崩铁玩家打造了一个新世界！,小三月日记,手机游戏,197715,40826,1800,361,17528,8855,1867,206,2026-08-01 04:00:00,BV1GmGu6LEjX,2026-08-02,20.0,0.8333333333333334
每多撑1分钟，奖金增加1000美元！,野兽游戏MrBeast,单机游戏,380385,26485,469,672,6094,3208,286,788,2026-08-01 03:00:00,BV1CbGw65EvC,2026-08-02,21.0,0.875
又将17级以上：台风白海豚将第四次巅峰，8月6日开始影响我国东海,中气爱,科学科普,562355,29147,4179,1826,1897,1264,3189,199,2026-08-01 14:48:53,BV1HS3m6eEun,2026-08-02,9.185277777777777,0.3827199074074074
磁悬浮橙子安洁莉娜,冰棍QAQ1,手工,381801,41131,1272,111,9673,1496,13128,46,2026-08-01 11:16:35,BV1kXGG6BETc,2026-08-02,12.723611111111111,0.530150462962963
番茄炒鸡蛋，青椒炒肉丝秒啦～#家常菜 #上热门挑战 #热门音乐,DY辣小白,美食侦探,286818,77213,2192,1179,5788,27755,277,168,2026-08-01 07:57:23,BV1ZRGg6bE4q,2026-08-02,16.04361111111111,0.6684837962962963
【中华圣杯战争】第一集：英灵召唤,早夜星Zoroaster,日常,226487,11579,2068,1181,7291,6710,2483,1206,2026-08-01 04:00:00,BV1GnGK6TEgQ,2026-08-02,20.0,0.8333333333333334
这个火爆全网的男人，到底是谁？现状如何？,水智风,竞技体育,200223,14171,632,1082,2108,7822,324,471,2026-08-01 08:29:01,BV1bVG36jEHg,2026-08-02,15.516388888888889,0.6465162037037037
这是啥狗？十七张牌给我秒了？,柒玖动漫柒柒游电竞,同人·手书,423125,39239,234,249,8077,771,279,123,2026-08-01 11:25:50,BV1cdGG6qEg4,2026-08-02,12.569444444444445,0.5237268518518519
八一广场，“八一”升旗，10万人现场见证！,央视新闻,日常,560445,85846,1892,3730,6455,14158,3446,285,2026-08-01 02:25:48,BV1ToGu6uEHD,2026-08-02,21.57,0.89875
“孩子们，出了社会可没有人会惯着你”,泽友io,鬼畜调教,390945,46362,317,1061,10477,13379,279,75,2026-08-01 11:48:22,BV1a5GV6WEuu,2026-08-02,12.193888888888889,0.5080787037037037
二刷《蜘蛛侠：崭新之日》正式点评！为何评价两极？,BuriedAlien,影视杂谈,566547,25989,7692,5280,5920,5369,2736,1063,2026-08-01 09:51:18,BV1xkGg6BE5K,2026-08-02,14.145,0.589375
浅谈少年兜，妈佐能乎完全体，我们虽不以大欺小，但一定以多欺少。造价仅需一顿华莱土的史上最强c忍，——【火影月旦评】,子姬o_O,手机游戏,150481,8830,251,101,1922,856,575,180,2026-08-01 15:46:50,BV1eH3m6XE4o,2026-08-02,8.219444444444445,0.3424768518518519
【太君の噩梦】造谣成吉思汗和杨贵妃都是日本人，日本野史比你想象中更夸张！,世界大抬杠,人文历史,326322,19287,756,1179,3978,584,364,983,2026-08-01 10:00:00,BV1iwG369ENB,2026-08-02,14.0,0.5833333333333334
《749局》前传有多离谱？姚晨大战哥斯拉！万字拆解《九层妖塔》,迪普_official,影视杂谈,553136,37005,1745,4891,8529,2053,871,1714,2026-08-01 08:00:00,BV1SXG36SEQT,2026-08-02,16.0,0.6666666666666666
千万别和朋友玩这个游戏！会打起来！,徐大虾咯,单机游戏,444158,43349,988,1954,8125,17181,741,764,2026-08-01 04:05:00,BV1FAGK6UEeh,2026-08-02,19.916666666666668,0.8298611111111112
⚡️内 存 救 星⚡️16G打游戏彻底过剩！  SteamOS 3.8深度评测,阿狸才不是受,数码,683338,41332,1659,841,10403,3291,1870,537,2026-08-01 10:05:00,BV1J9Gg6cE2d,2026-08-02,13.916666666666666,0.579861111111111
【warma】我为1000亿奖金挑战天才作者谜题！,Warma,手机游戏,1149047,115726,2210,4050,31991,36226,2963,860,2026-08-01 04:00:00,BV1gfGw6RE5p,2026-08-02,20.0,0.8333333333333334
别光顾着玩手机,不是唐嘉琦,日常,1934225,231735,3187,1161,12362,5193,1785,30,2026-08-01 11:47:28,BV1eKGV6fEpM,2026-08-02,12.20888888888889,0.5087037037037038
《原神》至冬交响音乐现场,原神,手机游戏,996823,174192,22885,11417,47069,112415,12326,544,2026-08-01 04:00:00,BV1riGw6zELu,2026-08-02,20.0,0.8333333333333334
大智斗时代：戴夫与僵尸博士的顶级智斗,陈君un,日常,786443,81288,1589,1374,22249,2690,3953,100,2026-08-01 06:46:46,BV12JG36GEVG,2026-08-02,17.220555555555556,0.7175231481481482
他叫李白 我最爱的英雄,小轩-国服李白,手机游戏,563433,17141,613,363,2521,1463,288,625,2026-08-01 02:00:00,BV1cx326wENd,2026-08-02,22.0,0.9166666666666666
人民好律师续续续续,陈凡尘,搞笑,611668,63507,1848,633,13532,4124,1085,173,2026-08-01 10:52:27,BV1pYGV63EjS,2026-08-02,13.125833333333333,0.5469097222222222
动手能力超强！13岁男生用废纸板和胶水，“手搓”各种武器装备模型。,中国青年报,亲子,4184431,252155,6938,1134,12819,2639,2686,38,2026-08-01 00:30:00,BV1FcGP6GEWV,2026-08-02,23.5,0.9791666666666666
假如你和十万人一起相亲【AI全民制作人】,星辉绿野,同人·手书,646711,58757,1708,836,5139,2090,646,193,2026-08-01 09:53:38,BV1CtGV6yEUR,2026-08-02,14.106111111111112,0.5877546296296297
机械美学的开山之作《变形金刚》，多年过去依旧是无法超越的开篇,摩斯神探,影视杂谈,1654643,76614,971,1039,7765,684,211,1056,2026-08-01 01:00:00,BV1oPGP6uEXZ,2026-08-02,23.0,0.9583333333333334
正宗大盘鸡到底有没有土豆？？【主播说三农】,央视农业,三农,934843,77369,7007,2712,3560,3317,3136,232,2026-08-01 14:22:46,BV1JQ3m6AEoW,2026-08-02,9.620555555555555,0.40085648148148145
【TF家族练习生】《突围II破局》EP06：我们把彼此留下来（上）,TF家族,明星综合,2012294,107926,6809,1453311,48597,13837,3199,3601,2026-08-01 11:00:00,BV15CG36dEsF,2026-08-02,13.0,0.5416666666666666
⚡️宗 主 连 携 技⚡️,自动鬼畜中的WZ,鬼畜调教,2691884,286077,5351,1824,56504,58573,13992,140,2026-08-01 04:00:00,BV1Nr3s6rE79,2026-08-02,20.0,0.8333333333333334
当你假装单词考过了...,多米糯骨嘎,搞笑,638551,67029,735,295,7013,4428,1422,125,2026-08-01 08:51:50,BV12iGg6rEyh,2026-08-02,15.136111111111111,0.6306712962962963
刚才发错了,脱缰凯Kk,小剧场,1859795,127820,1866,3593,10129,3863,1014,218,2026-08-01 14:42:32,BV1qR3m6cEo5,2026-08-02,9.29111111111111,0.3871296296296296
第5集丨“零号大坝开满了鲜花？”,是DollDoll,影视剪辑,1276788,133959,2659,2389,32442,25405,6716,241,2026-08-01 10:25:00,BV1WpGu6aEC7,2026-08-02,13.583333333333334,0.5659722222222222
"""大狗？？老吴！！""",一大筐会飞的草莓,鬼畜剧场,1636810,118371,1732,1362,16122,6327,4574,199,2026-08-01 03:45:00,BV1dTGP6TE5v,2026-08-02,20.25,0.84375
“连坐制”，一款如今人人都在玩的热门游戏,鱼蛋教育圈,小剧场,724861,41073,710,295,6044,1654,737,213,2026-08-01 09:55:00,BV1UjG365E8H,2026-08-02,14.083333333333334,0.5868055555555556
