标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
明日方舟 x 女神异闻录3 Reload 联动前瞻预告,明日方舟,手机游戏,1196438,76973,13975,5097,11244,15561,56234,32,2026-07-25 12:20:00,BV1Ag3M6ZESL,2026-07-26,11.666666666666666,0.4861111111111111
我看了《蜘蛛侠4》开头，挺好看的！,BuriedAlien,影视杂谈,358568,16491,2070,1246,2360,1464,2504,387,2026-07-25 12:45:00,BV1ET336tEr7,2026-07-26,11.25,0.46875
【星穹铁道】归寂：姬子，你不会是在坑爹吧！,一万根韭菜,同人·手书,368638,41935,584,642,9505,4098,651,231,2026-07-25 09:30:00,BV1cL3M6sEaS,2026-07-26,14.5,0.6041666666666666
国外声乐老师大实话锐评《歌手2026》第10期 REACTION｜张远 齐豫 胡彦斌 魏如萱 尤长靖 窦靖童 万妮达 艾略特 凡希亚,JKAI杰凯,乐评盘点,246885,5195,413,5890,547,1171,77,6828,2026-07-25 04:00:00,BV17F3T62EfN,2026-07-26,20.0,0.8333333333333334
《时之铃》首曝 | 世界观PV，欢迎来到这个混乱的世界！,时之铃,手机游戏,1645038,13428,955,372,8100,879,864,182,2026-07-25 02:00:00,BV11egx63EJi,2026-07-26,22.0,0.9166666666666666
仙弹SVCH！绝航要笑着玩！贱徐三角洲,贱徐,网络游戏,229454,8628,574,259,619,666,152,296,2026-07-25 13:36:22,BV15R3u62EVV,2026-07-26,10.393888888888888,0.43307870370370366
终于，我把男友的前女友们凑到了一个桌上...,妍妍酱的一天,日常,284484,8192,768,3038,2781,3878,1407,4588,2026-07-25 04:44:50,BV1XY3K6PEGF,2026-07-26,19.252777777777776,0.802199074074074
淘汰赛全员大招!!ice bridge现场是真的猛!!ranzer大哥你终于正常了!shark对了 再见了vava李斯丹妮!!【艾德宝陪您巅峰2026第五期上】,ADBABY打你屁屁,乐评盘点,292809,5337,1406,5399,1217,1401,145,2366,2026-07-25 13:15:08,BV1rr3u6xE5n,2026-07-26,10.747777777777777,0.44782407407407404
中 国 妹 妹 来 袭,真红莉爱Official,同人·手书,354824,39712,1667,428,4911,1725,812,119,2026-07-25 04:00:00,BV1cpgB6MEVK,2026-07-26,20.0,0.8333333333333334
EP02 啊吗粽X刘旸教主：爱赢之战一触即发 ｜ 死肌肉大挑战！,刘旸教主,科学科普,593275,21620,678,2998,5166,7863,680,2425,2026-07-25 04:00:00,BV1rXga6pEzF,2026-07-26,20.0,0.8333333333333334
星空夜谈 EDG ZmjjKK X 盛宇D-SHINE【视频播客丨爆能无声 EP7 】,无畏契约电竞,电子竞技,525552,25078,1451,4089,8105,11507,3082,2517,2026-07-25 06:00:00,BV1eS3T6GE9H,2026-07-26,18.0,0.75
积分掠夺！圣枪哥再遭替补，Hoya加盟BLG行不行？DK实力倒退六年，重回DWG的时光【赛事周刊】,LOL丶诺诺,电子竞技,208881,5616,1493,1200,1099,575,57,770,2026-07-25 10:55:29,BV1fp3g64E2F,2026-07-26,13.075277777777778,0.5448032407407407
“我不哭泣，我来自伊比利亚。”,_逻各斯,单机游戏,142628,13193,444,622,5081,7593,362,1207,2026-07-25 03:30:00,BV13ogv67EMg,2026-07-26,20.5,0.8541666666666666
低山臭水遇知音...,全险半挂炉,手机游戏,278216,15076,202,238,1934,792,269,223,2026-07-25 06:35:35,BV1Bc3u6XE9V,2026-07-26,17.406944444444445,0.7252893518518518
带南方朋友逛吃西安早市，30块钱俩人吃饱，辣子多放吃得挺美,君在西安,美食侦探,239328,10133,499,660,1371,949,374,1231,2026-07-25 04:41:29,BV1hY3K6NEjo,2026-07-26,19.308611111111112,0.804525462962963
锐评IG战胜WBG：Theshy神了！回归首秀就在游龙！,喵仙人ovo,电子竞技,396544,8390,2638,1566,627,551,286,367,2026-07-25 14:09:34,BV1f83G6hEWz,2026-07-26,9.840555555555556,0.41002314814814816
欢迎回归！IG 2-1 WBG 赛后数据雷达图+虎扑评分丨LPL第三赛段,苦练李香兰,电子竞技,344433,7544,2682,860,516,622,318,214,2026-07-25 12:05:29,BV1Go3u6LEyB,2026-07-26,11.908611111111112,0.49619212962962966
⚡大 师 兄 说 的 对⚡,暂离二度,人力VOCALOID,351210,29136,378,89,3664,1933,1568,69,2026-07-25 04:10:00,BV1iW3K63EF2,2026-07-26,19.833333333333332,0.8263888888888888
【十字军之王3】流浪大唐 第六期（下下）【完结】,菠萝柚王子,单机游戏,128057,13407,924,1700,2999,11102,233,1856,2026-07-25 11:06:01,BV1Qr3g65EBc,2026-07-26,12.899722222222222,0.5374884259259259
两个人演的不知天地为何物了…,陈嘉伦整个路人,搞笑,307485,14033,600,620,2759,570,579,298,2026-07-25 10:00:00,BV1Tz3K6cEQZ,2026-07-26,14.0,0.5833333333333334
改画哪有不疯的！（第25期）,哲哲哲同学,绘画,129379,16157,274,252,1461,556,136,143,2026-07-25 10:32:19,BV1Zb3g6pEia,2026-07-26,13.461388888888889,0.5608912037037037
【午餐盒子】地 爆 天 猩,五盒ll十箱,电子竞技,146295,11677,154,419,906,933,540,483,2026-07-25 03:45:00,BV1693K6SE6q,2026-07-26,20.25,0.84375
末 影 人 偷 小 孩,不风采的琴,MMD·3D,513317,26834,356,168,13045,2110,124,181,2026-07-25 09:05:00,BV1J8gh6JEZp,2026-07-26,14.916666666666666,0.6215277777777778
其实微软当年也想用正斜杠,Isword先生,计算机技术,102912,7135,471,293,2215,1636,559,246,2026-07-25 10:30:00,BV1263K6bEyM,2026-07-26,13.5,0.5625
请停留3秒  献上一朵花，“阿凡提”扮演者吐依贡去世，享年80岁  当年影片火遍全国，一代人童年回忆永久定格,红星视频,热点,199046,60456,297,1783,3458,1169,331,36,2026-07-25 13:05:48,BV1Ce3u6cEVT,2026-07-26,10.903333333333334,0.4543055555555556
鸣潮×广东歌舞剧院 | 合作舞蹈《玄翎谣》,鸣潮,手机游戏,603575,57850,4678,600,9961,26769,4711,178,2026-07-25 04:00:00,BV1rvgY69ELE,2026-07-26,20.0,0.8333333333333334
【唐唐】深度解析伪纪录片《被诅咒的大家庭》细思极恐才有意思！,Big笑工坊,影视杂谈,199937,9402,318,299,3027,1434,142,830,2026-07-25 04:20:00,BV1v23T65Ezf,2026-07-26,19.666666666666668,0.8194444444444445
2026年小学生最爱的歌！这谁能绷住啊？！！！,棉白有点笨,搞笑,90746,8416,524,1152,1635,1433,211,350,2026-07-25 01:49:07,BV1iK3T6rEWc,2026-07-26,22.18138888888889,0.9242245370370371
以前流浪废弃房吃苦，现在空调房享福，每天大鱼大肉。,浪仔小牛,日常,166948,7657,434,1011,590,3284,172,913,2026-07-25 12:52:09,BV1sV3g6eEHv,2026-07-26,11.130833333333333,0.4637847222222222
流 萤：吃 的 最 好 的 一 集,云耀yoke,单机游戏,260594,9459,338,1109,2636,752,76,1715,2026-07-25 23:05:00,BV1gd3T6MEzf,2026-07-26,0.9166666666666666,0.03819444444444444
冷战奇迹：“曾试图对抗猛禽的红色雄鹰，米格王朝孤注一掷的绝唱之作，却仅仅两次飞行便画上时代句号！”,Empire胡汉斯,人文历史,302435,28455,1214,1019,7814,3608,494,713,2026-07-25 06:07:47,BV1yS3M6cE1P,2026-07-26,17.870277777777776,0.7445949074074073
陈岩石为何风评被害？大风厂背后有多少博弈？从大明王朝视角打开《人民的名义》04,一条闲木鱼,影视杂谈,462120,16566,1604,1539,3745,5360,221,2067,2026-07-25 03:05:00,BV1Rhge6LEKf,2026-07-26,20.916666666666668,0.8715277777777778
赞美吧！绝对学权露西亚大人 (feat.ななひら) │ ZZZ HoYoFair,ファル公,同人·手书,80609,13134,520,336,6617,6485,1661,242,2026-07-25 14:32:27,BV1c43G6YEwV,2026-07-26,9.459166666666667,0.39413194444444444
《传教士》第3期：六翼天使追杀令，传教士归还“创世”【墨菲】,绝命墨菲,影视杂谈,181703,18726,285,1378,3427,8698,98,2584,2026-07-25 11:30:00,BV1Xh3K6vEmW,2026-07-26,12.5,0.5208333333333334
这支舞，我只跳给你一个人看。,柯洁,影视剪辑,964474,108561,4313,922,2389,2286,3685,15,2026-07-25 04:18:21,BV1Si3K6wEHz,2026-07-26,19.694166666666668,0.8205902777777778
诺兰有多恶劣？剪掉蝙蝠侠耳朵、盗用镜头、私吞经费？【好莱坞往事01-诺兰篇】,迪普_official,影视杂谈,391556,14113,593,959,3953,1024,925,643,2026-07-25 02:00:00,BV19agi6pEfE,2026-07-26,22.0,0.9166666666666666
